title,date,text,url
"Croatian City of Šibenik, Vallis Solaris nearing EUR 1 billion deal on investment in solar",2023-10-19 15:27:34+00:00,"The City of Šibenik and German company Vallis Solaris are getting closer to an investment in the solar industry value chain which could reach EUR 1 billion and provide 5,000 jobs.

Vallis Solaris gave consent to the City of Šibenik to send their agreement for a vote in the local assembly. It would initiate the procedure for the purchase of land and pave the way for the largest investment in the nearby Podi industrial zone and entire Croatia, Šibenski Portal reported.

The company has already signed a memorandum of understanding with the Government of Croatia.

The investmen could expand to the production of hydrogen, methanol and synthetic fuels

Back in February 2019, the Ministry of Regional Development and EU Funds said the Fraunhofer Institute for Solar Energy Systems ISE (Fraunhofer ISE), based in Freiburg, Germany, and the government intend to sign an MoU on cooperation for the establishment of a fully integrated photovoltaic manufacturing line in the country.

At that time, the project was estimated at EUR 5 billion.

The local news outlet now said the investment in the photovoltaic industry value chain is worth EUR 1 billion.

The facility would manufacture polysilicon, ingots, wafers, solar cells, solar glass, system components and inverters, after which it could expand to the production of hydrogen, methanol and synthetic fuels.

The manufacturing project will attract investments in solar and wind power plants

It would all require a large amount of electricity from renewable sources, implying the need for solar parks and wind farms, said Professor Volker Wittwer, co-owner of Vallis Solaris.

He is also one of the initiators of the project and one of the founders of Fraunhofer ISE.

The investment in the industrial part of the project should reach EUR 1 billion within eight years, and the full capacity should be achieved in ten years.

In the first phase, Vallis Solaris would buy the currently available 50 to 60 hectares in the Podi industrial zone. However, it would need up to 300 hectares overall.

The project includes the creation of five thousand 5,000 in phases within eight years. Wittver explained that the company would launch cooperation with the Polytechnic of Šibenik and the universities in Zagreb and Split to obtain a skilled workforce.",https://balkangreenenergynews.com/croatian-city-of-sibenik-vallis-solaris-nearing-eur-1-billion-deal-on-investment-in-solar/
"Croatian ministry, German institute to sign MoU on building PV manufacturing plant",2019-02-08 10:29:03+00:00,"The Fraunhofer Institute for Solar Energy Systems ISE in Freiburg and the Croatian Government intend to sign a memorandum of understanding on cooperation in March covering the establishment of a fully integrated photovoltaic (PV) manufacturing line in Croatia.

Croatian Minister for Regional Development and EU Funds Gabrijela Žalac has visited the Fraunhofer ISE and met with institute directors Hans-Martin Henning and Andreas Bett.

The visit was organized to concretize cooperation in research and development between the two countries, as well as to establish a fully integrated photovoltaic (PV) manufacturing line (10GW – GreenFAB) in Croatia in the context of regional development, Fraunhofer ISE said on its website, adding that this visit signifies an important step for the Vallis Solaris Program in Croatia, which has been in preparation for several years.

According to the website of the Croatian Ministry for Regional Development and EU Funds, the Vallis Solaris Program’s investment plan is divided into 4 phases.

The plan allows the start of PV production in a year and a half, while the production maximum could be reached in 8 to 10 years, the ministry said on its website.

According to the ministry, the total investment in the PV component of the Program amounts to EUR 5 billion, with 5,000 new employees and a significant increase in Croatian exports.

Program with three key components

The Program envisages a construction of fully integrated production of photovoltaic modules, starting with the materials, through wafers and cells and up to modules, inverters and system components.

In the final project phase, silicon and solar glass production shall be established, the institute said.

One aim of the program is to promote the technology transfer between the Fraunhofer ISE and universities and institutes in Croatia. In particular, the focus is on smart systems such as smart cities, smart islands and smart ports, as well as on photovoltaic applications, e.g. building-integrated photovoltaics (BIPV) and agro-photovoltaics.

The third component is the transfer and establishment of technologies for power storage and the production of stationary and mobile battery systems in Croatia.",https://balkangreenenergynews.com/croatian-ministry-german-institute-to-sign-mou-on-building-pv-manufacturing-plant/
Vallis Solaris dovodi investiciju od milijardu eura i 5000 radnih mjesta u Šibenik,,"Tvrtka Vallis Solaris odobrila je da tekst prijedloga Sporazuma između njih i Grada Šibenika ide pred gradske vijećnike, čime će se pokrenuti proces kupoprodaje zemljišta. Radi se o najvećem ulaganju na prostoru Industrijske zone Podi, ali i u Hrvatskoj, koje bi u osam godina trebalo doseći milijardu eura.

Prof. dr. Volker Wittwer, jedan od začetnika projekta i suvlasnik društva Vallis Solaris te jedan od osnivača Fraunhofer ISE, pojasnio je za Šibenski portal što se planira u Šibeniku.

- Ovo ulaganje značit će proizvodnju polisilicija, ingota, wafera, solarnih ćelija, solarnog stakla, sistemskih komponenti i pretvarača, a na to se nadovezuje proizvodnja vodika, metanola i sintetičkih goriva. Riječ je o industrijskom dijelu koji zahtjeva opskrbu vrlo velikim količinama električne energije, koja mora biti ‘zelena’ i koju će investitor morati sam osigurati, a to će povući još znatno veće investicije u solarne i vjetroelektrane - kazao je Wittwer.

U konačnici, planiraju izgraditi zgradu površine 100 hektara, za potpunu realizaciju projekta potrebno im je ukupno 300 hektara, no počinju s 50 do 60 u Podima. Naime, zanimanje ulagača za tu zonu je poraslo od izgradnje direktnog čvora na autocestu, zbog čega je svo raspoloživo zemljište na Podima koje je Republika Hrvatska dala gradu Šibeniku zauzeto, te se očekuje odluka Vlade o darivanju novih hektara.

U razdoblju od osam godina, postrojenje bi zapošljavalo 5.000 ljudi, no krenut će s njih 200-300 koje Wittwer smatra da će pronaći ""lokalno"". U kasnijim fazama planiraju dodatna ulaganja u smještajne kapacitete za zaposlenike, kao i obrazovanje, u čemu će surađivati s nekoliko Sveučilišta.

VIDEO Ponuda cvijeća i lampiona u Zagrebu povodom blagdana Svih Svetih",https://www.vecernji.hr/vijesti/vallis-solaris-dovodi-investiciju-od-milijardu-eura-i-5000-radnih-mjesta-u-sibenik-1718165
"Veliki projekt u Dalmaciji: Nijemci samo u iduće tri godine ulažu milijardu eura, žele zaposliti 5000 ljudi",2023-10-26 06:52:26,"Volker Wittwer, suvlasnik tvrtke Vallis Solaris, vertikalno integriranog lanca vrijednosti fotonaponske industrije, planira niz investicija u šibenskoj zoni Podi. Riječ je, kako je pojasnio, o nekoliko industrija koje se planiraju usporedo razviti i povezati u jednu cjelinu koja će u konačnici rezultirati proizvodnjom fotonaponskih modula posljednje generacije.

- Komponente, odnosno industrije koje planiramo razviti odnose se na proizvodnju polisilicija, ingota, wafera, solarnog stakla, pretvarača i sistemskih komponenti. Ovaj industrijskih lanac planiramo nadograditi dodatnim postrojenjima za proizvodnju i preradu zelenog vodika, metanola i sintetičkih goriva. Jedan od isto tako bitnih segmenata predstavlja i proizvodnja stacionarnih sustava za pohranu...",https://novac.jutarnji.hr/novac/aktualno/veliki-projekt-u-dalmaciji-nijemci-samo-u-iduce-tri-godine-ulazu-milijardu-eura-zele-zaposliti-5000-ljudi-15388051
Tvrtka Vallis Solaris na Pode dovodi najveću investiciju u Hrvatskoj za 5.000 radnih mjesta,2023-10-12 09:26:58+00:00,,https://sibenskiportal.hr/aktualno/tvrtka-vallis-solaris-na-pode-dovodi-najvecu-investiciju-u-hrvatskoj-za-5-000-radnih-mjesta/
,,,http://www.idaea.csic.es/medspring/sites/default/files/MEDSPRING-Training-H2020-Research-Managers-Solar-Energy-Wittwer-Fraunhofer.pdf
